States,x,y
Andhra Pradesh,-87,-163
Arunachal Pradesh,243,135
Assam,205,86
Bihar,62,70
Chhattisgarh,-21,-24
Goa,-176,-154
Gujarat,-229,6
Haryana,-131,153
Himachal Pradesh,-114,215
Jammu and Kashmir,-123,279
Jharkhand,46,21
Karnataka,-143,-162
Kerala,-128,-255
Madhya Pradesh,-94,15
Maharashtra,-150,-80
Manipur,220,51
Meghalaya,161,67
Mizoram,206,22
Nagaland,238,80
Odisha,32,-42
Punjab,-149,191
Rajasthan,-189,99
Sikkim,114,113
Tamil Nadu,-100,-250
Telangana,-69,-95
Tripura,178,30
Uttar Pradesh,-47,97
Uttarakhand,-69,174
West Bengal,102,20
